Keyword,Volume,KD,CPC,Intent,Buyer Persona,Relevance,Opportunity Score,Revenue Score,Organic CTR Score,AI Overview,BDP Comp Score,Allocation Bucket,Competition,Cluster
best church translation software,5000,20,2,Commercial,Church Admin,8,434.78,3732.81,1,false,5,Core,0.2,Church Translation
best church translation app,5000,20,2,Commercial,Church Admin,8,434.78,3732.81,1,false,5,Core,0.2,Church Translation
best church translation platform,5000,20,2,Commercial,Church Admin,8,434.78,3732.81,1,false,5,Core,0.2,Church Translation
best multilingual church translation,5000,20,2,Commercial,Church Admin,8,434.78,3732.81,1,false,5,Core,0.2,Church Translation
best sermon translation app,5000,20,2,Commercial,Enterprise Buyer,8,434.78,3732.81,1,false,5,Core,0.2,
best church translation,5000,20,2,Commercial,Church Admin,8,434.78,3732.81,0.9,false,8.7,Core,0.2,Church Translation
best pricing church translation,5000,20,2,Commercial,Church Admin,8,434.78,3732.81,0.9,false,8.7,Core,0.2,Church Translation
alternative to pricing church translation,5000,20,2,Commercial,Church Admin,8,434.78,3732.81,0.9,false,8.7,Core,0.2,Church Translation
top pricing church translation,4000,30,2.5,Commercial,Church Admin,8,222.22,2914.9,0.9,false,10,Core,0.5,Church Translation
vs pricing church translation,4000,30,2.5,Commercial,Church Admin,8,222.22,2914.9,0.9,false,10,Core,0.5,Church Translation
free pricing church translation,3000,40,3,Commercial,Church Admin,8,122.45,2326.15,0.9,false,10,Core,0.8,Church Translation
review pricing church translation,3000,40,3,Commercial,Church Admin,8,122.45,2326.15,0.9,false,10,Core,0.8,Church Translation
best live captions,5000,20,2,Commercial,Enterprise Buyer,8,434.78,2281.16,0.55,true,8.7,Core,0.2,Live Translation Tools
best live church translation,5000,20,2,Commercial,Church Admin,8,434.78,2281.16,1,false,5,Core,0.2,Church Translation
best AI church translation,5000,20,2,Commercial,Church Admin,8,434.78,2281.16,1,false,5,Experimental,0.2,Church Translation
best AI sermon translation,5000,20,2,Commercial,Enterprise Buyer,8,434.78,2281.16,1,false,5,Experimental,0.2,
best live sermon translation,5000,20,2,Commercial,Enterprise Buyer,8,434.78,2281.16,1,false,5,Core,0.2,Live Translation Tools
pricing church translation software,2000,50,3.5,Commercial,Church Admin,8,75.47,1620.21,1,false,5,Core,0.2,Church Translation
pricing church translation app,2000,50,3.5,Commercial,Church Admin,8,75.47,1620.21,1,false,5,Core,0.2,Church Translation
pricing church translation platform,2000,50,3.5,Commercial,Church Admin,8,75.47,1620.21,1,false,5,Core,0.2,Church Translation
pricing multilingual church translation,2000,50,3.5,Commercial,Church Admin,8,75.47,1620.21,1,false,5,Core,0.2,Church Translation
pricing sermon translation app,2000,50,3.5,Commercial,Enterprise Buyer,8,75.47,1620.21,1,false,5,Core,0.2,
pricing church translation,2000,50,3.5,Commercial,Church Admin,8,75.47,1620.21,0.9,false,10,Core,0.2,Church Translation
enterprise pricing church translation,2000,50,3.5,Commercial,Church Admin,8,75.47,1620.21,0.9,false,10,Core,0.2,Church Translation
pricing pricing church translation,2000,50,3.5,Commercial,Church Admin,8,75.47,1620.21,0.9,false,10,Core,0.2,Church Translation
alternative to church translation software,5000,20,2,Informational,Church Admin,8,217.39,1333.15,1,false,5,Core,0.2,Church Translation
alternative to church translation app,5000,20,2,Informational,Church Admin,8,217.39,1333.15,1,false,5,Core,0.2,Church Translation
alternative to church translation platform,5000,20,2,Informational,Church Admin,8,217.39,1333.15,1,false,5,Core,0.2,Church Translation
alternative to multilingual church translation,5000,20,2,Informational,Church Admin,8,217.39,1333.15,1,false,5,Core,0.2,Church Translation
alternative to sermon translation app,5000,20,2,Informational,Enterprise Buyer,8,217.39,1333.15,1,false,5,Core,0.2,
alternative to church translation,5000,20,2,Informational,Church Admin,8,217.39,1333.15,0.9,false,8.7,Core,0.2,Church Translation
top church translation software,4000,30,2.5,Informational,Church Admin,8,111.11,1041.04,1,false,5,Core,0.5,Church Translation
vs church translation software,4000,30,2.5,Informational,Church Admin,8,111.11,1041.04,1,false,5,Core,0.5,Church Translation
top church translation app,4000,30,2.5,Informational,Church Admin,8,111.11,1041.04,1,false,5,Core,0.5,Church Translation
vs church translation app,4000,30,2.5,Informational,Church Admin,8,111.11,1041.04,1,false,5,Core,0.5,Church Translation
top church translation platform,4000,30,2.5,Informational,Church Admin,8,111.11,1041.04,1,false,5,Core,0.5,Church Translation
