Keyword,Volume,KD,CPC,Intent,Buyer Persona,Relevance,Opportunity Score,Revenue Score,Competition,Cluster
french to english,1220000,48,4.36,Transactional,General User,6,59803.92,187736.47,0.2,Specific Language Translation Pairs
portuguese to english,368000,14,4.62,Transactional,General User,6,54117.65,180016.94,0.2,Specific Language Translation Pairs
english to chinese,550000,22,4.02,Transactional,General User,6,55000,159192,0.2,Specific Language Translation Pairs
italian to english,368000,15,4.32,Transactional,General User,6,51111.11,158976,0.2,Specific Language Translation Pairs
translate to english,1830000,86,4.27,Transactional,General User,6,51404.49,158037.98,0.2,Specific Language Translation Pairs
english to french,1000000,50,4.24,Transactional,General User,6,47169.81,144000,0.2,Specific Language Translation Pairs
english to russian,550000,34,5.08,Transactional,General User,6,37162.16,135924.32,0.2,Specific Language Translation Pairs
german to english,673000,37,4.3,Transactional,General User,6,42062.5,130225.5,0.2,Specific Language Translation Pairs
english to portuguese,301000,15,4.28,Transactional,General User,6,41805.56,128828,0.2,Specific Language Translation Pairs
english to italian,368000,27,4.13,Transactional,General User,6,30666.67,91190.4,0.2,Specific Language Translation Pairs
english to german,550000,50,4.63,Transactional,General User,6,25943.4,86484.91,0.2,Specific Language Translation Pairs
english to urdu,135000,20,7.77,Transactional,General User,6,14673.91,82091.74,0.2,Specific Language Translation Pairs
latin to english,201000,20,4.61,Transactional,General User,6,21847.83,72517.3,0.2,Specific Language Translation Pairs
translate english to french,368000,38,3.69,Transactional,General User,6,22439.02,59616,0.2,Specific Language Translation Pairs
russian to english,368000,53,4.67,Transactional,General User,6,16428.57,55239.43,0.2,Specific Language Translation Pairs
on demand interpretation services,1900,1,46.16,Commercial,Conference Organizer,10,950,54815,0.2,Conference and Event Interpretation
on-demand interpretation services,1900,1,46.16,Commercial,Conference Organizer,10,950,54815,0.2,Conference and Event Interpretation
english to latin,165000,31,4.97,Transactional,General User,6,12132.35,43414.41,0.2,Specific Language Translation Pairs
online translation tools,368000,72,7.9,Commercial,General User,4,9813.33,38762.67,0.2,General Translation and Tools
translation tools online,368000,94,7.9,Commercial,General User,4,7587.63,29971.13,0.2,General Translation and Tools
translate english to urdu,49500,25,6.19,Transactional,General User,6,4419.64,19697.46,0.2,Specific Language Translation Pairs
translate german to english,110000,33,3.38,Transactional,General User,6,7638.89,18590,0.2,Specific Language Translation Pairs
translate english to russian,110000,45,3.82,Transactional,General User,6,5729.17,15757.5,0.2,Specific Language Translation Pairs
translate english to hindi,90500,43,4.3,Transactional,General User,6,4918.48,15227.61,0.2,Specific Language Translation Pairs
english to swahili translator,4400,0,4.12,Commercial,General User,4,2933.33,6042.67,0.2,Real-Time Translation Solutions
closed captioning,14800,24,13.04,Informational,Livestreamer,7,548.15,5003.5,0.2,Live Captioning and Subtitles
english to pashto translator,3600,0,3.94,Commercial,General User,4,2400,4728,0.2,Specific Language Translation Pairs
interpreter vs translator,4400,0,5.92,Informational,General User,5,1466.67,4341.33,0.2,General Translation and Tools
simultaneous interpretation services,260,10,75.07,Commercial,Conference Organizer,10,40,3753.5,0.2,Conference and Event Interpretation
conference interpretation services,90,2,103.42,Commercial,Conference Organizer,8,36,3723.12,0.2,Conference and Event Interpretation
